1;Раздел II. Расчетные коэффициенты электрических нагрузок (cosfi и Кс) по установке, процессу, цеху, предприятию в целом;;;;;;;
136;;;;;;Технологическое оборудование;0,6;0,45
137;;;;;;Внутризаводской транспорт;0,75;0,65
138;;;;;;Пневмо транспорт;0,8;0,7
139;;;;;;Вентиляция;0,8;0,7
140;;;;Кордочесальное отделение;;;;
141;;;;;;Технологическое отделение;0,77;0,55
142;;;;;;Вентиляция;0,8;0,7
143;;;;;;Пневмотранспорт ;0,8;0,7
144;;;;Участок чистки и точки валков;;;;
145;;;;;;Станки;0,65;0,6
146;;;;;;Вентиляция;0,8;0,7
147;;;;Участок приготовления эмульсии;;;;
148;;;;;;Технологическое оборудование;0,7;0,65
149;;;;;;Вентиляция;0,8;0,7
150;;;;Прядильно-крутильный цех;;;;
151;;;;;;Технологическое оборудование;0,73;0,52
152;;;;;;Вентиляция;0,8;0,7
153;;;;Ткацкое отделение;;;;
154;;;;;;Технологическое оборудование;0,6;0,4
155;;;;;;Вентиляция;0,8;0,65
156;;;;Отделение асбестовых набивок;;;;
157;;;;;;Технологическое оборудование;0,67;0,4
158;;;;;;Вентиляция;0,8;0,7
159;;;;Прессовое отделение;;;;
160;;;;;;Технологическое оборудование;0,62;0,46
161;;;;;;Электрообогрев прессов;0,95;0,8
162;;;;;;Установка ТВЧ;0,6;0,8
163;;;;;;Внутризаводской транспорт;0,8;0,61
164;;;;;;Вентиляция;0,8;0,65
165;;;;Конденсатные установки;;;;
166;;;;;;Насосы;0,8;0,75
167;;;;Производство паронита и изготовление формовочных масс;;;;
168;;;;;;Массомешалки;0,8;0,6
169;;;;;;Вертикальные паронитовые вальцы и отбр.устройства;0,75;0,62
170;;;;;;Вакуум-насосы РМК-3;0,8;0,45
171;;;;;;Прочее технологическое оборудование;0,7;0,6
172;;;;;;Электрообогрев прессов;0,95;0,8
173;;;;;;Металлорежущие станки;0,8;0,18
174;;;;;;Сантехническое оборудование;0,8;0,65
175;;;;;;Пневмотранспорт;0,8;0,7
176;;;;;;Транспортеры, шнеки, весовая, дозировки, лебедки;0,7;0,6
177;;;;Лабораторно-бытовой корпус;;;;
178;;;;;;Лабораторное оборудование;0,65;0,6
179;;;;;;Термические приемники;0,95;0,6
180;;;;;;Вентиляторы сантехнические;0,8;0,7
181;;;;;;Цех производства транспортных лент и приводных ремней (высоковольтные двигатели);0,8;0,67
182;;;;;;То же (низковольтные двигатели);0,7;0,4
183;;;;;;Цех производства формовой техники без учета электропроцессов;0,63;0,39
184;;;;;;То же с учетом электропроцессов;0,8;0,67
185;;;;;;Подготовительный цех;;0,58
186;;;;;;Цех спецшлангов ( в том числе без дорновых рукавов);0,57;0,4
187;;;;;;Цех спиральных и буровых рукавов;0,6;0,3
188;;;;;;Цех напорных рукавов;0,62;0,32
189;;;;;;Цех клиновидных ремней;0,63;0,39
190;;;Шинные заводы;;;;;
191;;;;Подготовительный цех (высоковольтные двигатели);;;0,85 - 0,9 (емк);0,7
192;;;;То же (низковольтные двигатели);;;0,65;0,65
193;;;;Сборочный цех;;;0,65;0,5
194;;;;Цех каландров (высоковольтные двигатели);;;0,85 - 0,9;0,65
195;;;;То же (низковольтные двигатели);;;0,65;0,45
196;;;;Автокамерный цех (высоковольтные двигатели);;;0,85 - 0,9 (емк);0,8
197;;;;То же (низковольтные двигатели);;;0,75;0,4
198;;;;Цех вулканизации;;;0,55;0,35
199;;;Производство полиэтилена;;;;;
200;;;;Цех очистки этилена;;;0,9;0,9
201;;;;Цех полимеризации;;;0,75;0,5
202;;;;Цех дистиляции и очистки азота;;;0,8;0,75
203;;;;Цех грануляции;;;0,8;0,75
204;;;;Цех катализации;;;0,65;0,85
205;;;;Цех легковоспломиняющихся жидкостей;;;0,75;0,9
206;;;Производство амиака и метанола;;;;;
207;;;;Цех разделения оздуха;;;0,95;0,87
