1;1.1.Машиностроительная и обробатывающая промышленость;;;;;;;;
2;;;1.1.1.Тяжелое машиностроение;;;;;;
3;;;;Металлорежущие станки;;;;;
850;;;;;;Дефибратор со вспомогательным оборудованием;0,63;0,75;
851;;;;;;Мешелка бассейна и насос массы;0,43;0,78;
852;;;;Проклейное и от ливочное отделение;;;;;
853;;;;;;Механизмы проклейки;0,16 - 0,78;0,65;
854;;;;;;Отливочная машина;0,65 - 0,95;0,8 - 0,9;
855;;;;;;Насосы брака и обратной воды;0,36;0,82;
856;;;;;;Вспомогательные механизмы;0,38;0,65;
857;;;;;;Вентиляция;0,38;0,7;
858;;;;;;Форматные станки твердого потока;0,41;0,5;
859;;;;;;Отливочная машина пористого потока;0,22;0,48;
860;;;;;;Сушилка пористого потока;0,56;0,76;
861;;;;;;Вакуум насосы;0,77;0,85;
862;;;;Прессовое и моечное отделение;;;;;
863;;;;;;Насосы высокого и низкого давления ;0,17 - 0,29;0,67 - 0,85;
864;;;;;;Насосы теплового аккумулятора;0,89;0,86;
865;;;;;;Транспортеры;0,26;0,58;
866;;;;;;Вентиляция;0,14;0,58;
867;;;;;;Вспомогательное оборудование пресса;0,47;0,8;
868;;;;Отделение закалки;;;;;
869;;;;;;Вентиляторы закалочных камер;0,3;0,83;
870;;;;;;Транспортные механизмы (тележки, рольганги и др.);0,1;0,3;
871;;;;;;Вентиляция;0,5;0,5;
872;;;;Отделение раскроя и увлажения;;;;;
873;;;;;;Технологические механизмы;0,54;0,65;
874;;;;;;Вентиляция;0,36;0,6;
875;;;;Оборудование ремонтно-механических мастерских;;;;;
876;;;;;;Моечная установка;0,7;0,8;
877;;;;;;Установка заправки маслом;0,5;0,645;
878;;;;;;Аппарат промывочный;0,7;0,8;
879;;;;;;Гидроподъемник;0,7;0,8;
880;;;;;;Гайковерт;0,14;0,5;
881;;;;;;Шероховальный станок;0,14;0,5;
882;;;;;;Электровулканизаторы;0,4;0,6;
883;;;;;;Компрессор;0,7;0,8;
884;;;;;;Испытательный стенд;0,4;0,64;
885;;;;;;Токарный станок;0,14;0,5;
886;;;;;;Обрезной станок;0,14;0,5;
887;;;;;;Фрезерный станок;0,14;0,5;
888;;;;;;Строгальный станок;0,14;0,5;
889;;;;;;Расточной станок;0,14;0,5;
890;;;;;;Сверлийный станок;0,14;0,5;
891;;;;;;Заточной станок;0,14;0,5;
892;;;;;;Пилоножеточный станок;0,14;0,5;
893;;;;;;Шлифовальный станок;0,14;0,5;
894;;;;Прочее оборудование;;;;;
895;;;;;;Сварочные тарнсформаторы;0,2;0,399;
896;;;;;;Однопостовые сварочные двигатель-генераторы;0,2;0,399;
897;;;;;;Вентиляторы сантехнические;0,65;0,8;
898;;;;;;Вентиляторы технологические;0,5;0,69;
899;;;;;;Компрессоры;0,65;0,8;
900;;;;;;Дымососы;0,9;0,901;
901;;;;;;Насосы водяные;0,7;0,8;
902;;;;;;Механизмы на сплаве: оплоточные машины;0,6;0,69;
903;;;;;;Сортировочно машины;0,6;0,69;
904;;;;;;Сортировочно-формовочные машины;0,65;0,69;
905;;;;;;Гидроускорители;0,65;0,69;
906;;;;;;Потокообразователи;0,7;0,8;
907;;;;;;Барабанные ускорители;0,3;0,554;
908;;;;;;Троповые ускорители;0,5;0,6;
909;;1.9.Целлюлозно-Бумажная промышленность;;;;;Ки;cosfi;
910;;;;Размольное отделение;;;;;
911;;;;;;Мельница;0,97;0,88;
912;;;;;;Дробилка;0,33;0,77;
913;;;;;;Оборудование размольного отделения без мельниц;0,43;0,81;
914;;1.10.Гидролизное производство;;;;;Ки;cosfi;
915;;;;Гидролизно-спиртовое производство;;;;;
916;;;;;;Насосы непрерывного режима работы (перекачка воды, технологического полупродукта);0,7;;
917;;;;;;Насосы периодического режима работы (вывод шлама, перекачка химикатов);0,6 - 0,7;;
918;;;;;;Сцежи;0,65;;
919;;;;;;Мешалки;0,3 -0,35;;
920;;;;;;Сепараторы;0,6 - 0,65;;
921;;;;;;Компрессоры сжатого воздуха;0,6 - 0,65;;
922;;;;Дрожжевой цех;;;;;
923;;;;;;Насосы непрерывного режима работы;0,7;;
924;;;;;;Насосы периодического режима работы ;0,6 - 0,7;;
925;;;;;;Мешалки;0,3 - 0,35;;
926;;;;;;Сепараторы;0,6 - 0,65;;
927;;;;;;Турбовоздуходувки, нагнетатели воздуха;0,6 - 0,65;;
928;;;;;;Дымососы;0,6 - 0,65;;
929;;;;;;Вентиляторы производственные;0,6 - 0,65;;
930;;;;;;Пневнмотранспорт;0,8 - 0,84;;
931;;;;;;Транспортеры, конвееры, питатели;0,5 - 0,55;;
932;;;;;;Флотаторы;0,65;;
933;;;;;;ЦРМ;0,65;;
934;;;;;;Упаковочная установка;0,6;;
935;;;;Прочее оборудование;;;;;
936;;;;;;Насосы водоразборных и очистных сооружений;0,7;;
937;;;;;;Вентиляторы сантехнические;0,6 - 0,65;;
938;;;;;;Станочное оборудование ремонтных мастерских;0,12 - 0,15;;
939;;;;;;Электротали;0,05 - 0,1;;
940;;;;;;Электросварочные аппараты для ручной сварки;0,3 - 0,35;;
941;;;;;;Оборудование КИПиА;0,2 - 0,25;;
942;;;;;;Электропривод задвижек;0,65;;
943;;1.11.Промышленность строительных материалов и строительство;;;;;Ки;cosfi;
944;;;;Сырьевой цех;;;;;
945;;;;;;Сырьевая мельница (главный привод);0,72;0,85;
946;;;;;;Низковольтное оборудование сырьевого цеха;0,56;0,75;
947;;;;;;Шлам-насосы;0,56;0,75;
948;;;;;;Болтушка;0,62;0,8;
949;;;;;;Дробилки;0,54;0,8;
950;;;;;;Крановые мешалки шлама;0,38;0,5;
951;;;;;;Экскаваторы;0,4;0,7;
952;;;;;;Транспортеры сырья;0,5;0,75;
953;;;;;;Карьер в целом;0,65;0,75;
954;;;;Цех обжига;;;;;
955;;;;;;Вращающиеся печи без холодильников;0,7;0,8;
956;;;;;;То же с холодильниками;0,6;0,7;
957;;;;;;Главные приводы печей;0,7;0,8;
958;;;;;;Дымососы печей;0,7;0,8;
959;;;;;;Механизмы переуборки;0,46;0,65;
960;;;;;;Вентиляторы технологические;0,57;0,75;
961;;;;;;Транспортеры клинкера;0,45;0,7;
962;;;;;;Холодильники;0,6;0,85;
963;;;;;;Электрофильтры;0,8;0,85;
964;;;;Цех сухого помола;;;;;
965;;;;;;Цементные мельницы в целом;0,8;0,85;
966;;;;;;Главный привод цементных мельниц;0,85;0,85 - 0,9 (емкость);
967;;;;;;Низковольтное оборудование цементных мельниц;0,48;0,75;
968;;;;;;Упаковочная ;0,4;0,7;
969;;;;;;Грейферные краны;0,5;0,6;
970;;;;;;Пневмовинтовые насосы (фулер-насосы);0,48;0,75;
971;;;;;;Сушильное отделение;0,6;0,75;
972;;;;;;Питатели и дозаторы;0,6;0,78;
973;;;;;;Угольные мельницы;0,7;0,83;
974;;;;;;Электрокалориферы;0,6;0,88;
975;;;;Общезаводские нагрузки;;;;;
976;;;;;;Компрессоры;0,75;0,85;
977;;;;;;Водонасосы;0,8;0,8;
978;;;;;;Вентиляторы сантехнические;0,64;0,75;
979;;;;;;Бетоноуладчики;0,15;0,6;
980;;;;;;Автоматические станки для правки и резки проволоки;0,15;0,6;
981;;;;;;Формовочные машины;0,15;0,6;
982;;;;;;Конвееры;0,15;0,5;
983;;;;;;Рольганги;0,1;0,5;
984;;;;;;Земснаряды;0,25 - 0,93;0,69 - 0,78;
985;;;;;;Эскаваторы с электропривода;;0,5 - 0,6;
986;;;;;;Растворные узлы;;0,5 - 0,7;
987;;;;;;Краны башенные и портальные;;0,5;
988;;;;;Трансформаторный электроподогрев бетона, отогрев грунта и трубопроводов;;;0,75;
989;;;;;;Однопостовые двигатель-генераторы сварки;;0,6;
990;;;;;;Сварочные транформаторы;0,2;0,4;
991;;;;;;Переносные механизмы;;0,45;
992;;1.12.Химическая промышленность;;;;;Ки;cosfi;
993;;;Производство искусственного и синтатического волокна;;;;;;
994;;;;;;Прядильная машина штапеля;0,38;0,7;
995;;;;;;Прядильная машина капрона;0,65;0,7;
996;;;;;;Прядильная машина вискозного корда;0,5;0,7;
997;;;;;;Прядильная машина центрифугального шелка (главный привод);0,52;0,7;
998;;;;;;Прядильная машина центрифугального шелка (электроветерена);0,62;0,7;
999;;;;;;Прядильная машина ацетатного шелка;0,7;0,7;
1000;;;;;;Мешалки растворителей;0,55;0,8;
1001;;;;;;Фильтр-прессы;0,35;0,55;
1002;;;;;;Крутильные машины ацетатного шелка;0,6;0,7;
1003;;;;;;Перемоточные машины;0,78;0,7;
1004;;;;;;Тростильно-крутильные машины;0,89;0,8;
1005;;;;;;Крутильные машины;0,64;0,8;
1006;;;;;;Вытяжные машины;0,7;0,85;
1007;;;;;;Ткацкие станки;0,74;0,7;
1008;;;;;;Динильные котлы;0,58;1;
1009;;;;;;Периодопреобразователи;0,75;0,9 (оп);
1010;;;;;;Компрессоры;0,78;0,8;
1011;;;;;;Водонасосные;0,83;0,8;
1012;;;;;;Вентиляторы сантехнические;0,64;0,76;
1013;;;Производство полиэтилена низкого давления высокой плотности;;;;;;
1014;;;;;;Компрессоры этилена;0,85;0,9;
1015;;;;Цех полимеризации;;;;;
1016;;;;;;Технологические линии;0,6;0,75;
1017;;;;;;Эльма-насосы;0,5;0,8;
1018;;;;;;Центрифуги;0,4;0,6;
1019;;;;;;Сушилки;0,5;0,5;
1020;;;;Цех грануляции;;;;;
1021;;;;;;Грануляторы;0,8;0,8;
1022;;;;;;Газодувки;0,45;0,7;
1023;;;;;;Компрессоры цеха дистиляции и очистки азота;0,43;0,7;
1024;;;Производство амиака и метанола;;;;;;
1025;;;;;;Компрессоры воздушные;0,67;0,98;
1026;;;;;;Газодувка газагенераторного цеха;0,57;0,85;
1027;;;;;;Компрессоры газовые;0,85;0,99;
1028;;;;;;Триплекс-насосы;0,4;0,75;
1029;;;;;;Двигатель турбины (мототурбонасосы);0,81;0,85;
1030;;;;;;Экспансионные машины;0,8;0,85;
1031;;;;;;Циркуляционные компрессоры синтеза;0,74;0,78;
1032;;;;;;Нагнетатели кислородно-воздушные смеси (КВС);0,82;0,86;
1033;;;;;;Компрессоры амиачные;0,7;0,98;
1034;;;;;;Кислорододувки;0,6;0,78;
1035;;;Производство слабой азотной кислоты;;;;;;
1036;;;;;;Трубогазодувки;0,73;0,9;
1037;;;;;;Турбокомпрессоры газовые;0,8;0,95;
1038;;;;;;Насосы грунтового водоснабжения;;0,7;
1039;;;;;;Компрессоры, насосы, вентиляторы, мешалки центрафуги (приводы с непрерывным технологическим процессом);0,5;0,86;
1040;;;Шинные заводы. Производство шин;;;;;;
1041;;;;;;Резиносмесители, работающие на приготовление резиновой смеси;0,5;0,85 - 0,9;
1042;;;;;;Резиносмесители, работающие на вулканизацию каучука;0,54;0,85 - 0,9;
1043;;;;;;Вальцы под резиносмесители;0,65;0,85 - 0,9;
1044;;;;;;Подогреватели на вальцы;0,56;0,85 - 0,9;
1045;;;;;;Пелетайзеры;0,36;0,85-0,9 (оп);
1046;;;;;;Шприц-машины пректных агрегатов;0,7;0,8;
1047;;;;;;Шприц-машины автокамерных агрегатов;0,53;0,7;
1048;;;;;;Каландры обкладочные (обрезирование корда);0,68;0,8;
1049;;;;;;Сборочные станки;0,44;0,6;
1050;;;;;;Вулканизаторы шин;0,05;0,4;
1051;;;;;;Вулканизаторы автокамер и ободных лент;0,16;0,5;
1052;;;;;;Компрессоры (синхронные двигатели);0,93;0,85 - 0,9 (оп);
1053;;;;;;Водонасосные (водоснабжение);0,89;0,8;
1054;;;;;;Насосы циркуляционной и перегретой воды ;0,43;0,7;
1055;;;;;;Насосы воды низкого давления;0,87;0,8;
1056;;;;;;Насосы воды высокого давления;0,55;0,8;
1057;;;;;;Вентиляторы сантехнические;0,69;0,75;
1058;;;;;;Транспортные системы;0,25;0,45;
1059;;;Производство резинотехнических изделий;;;;;;
1060;;;;;;Агрегаты для изготовления особо прочных транспортных лент;0,11;;
1061;;;;;;Каландры для изготовления сердечников транспортных лент;0,48;0,69;
1062;;;;;;Каландры для обкладки транспортных лент;0,28;0,51;
1063;;;;;;Подогревательные вальцы производства транспортных лент;0,47;0,8;
1064;;;;;;Шприц-машины производства формовой техники;0,37;0,47;
1065;;;;;;Прессы с электрообогревом производства формовой технике при работе;0,78;;
1066;;;;;;То же при разогреве;;1;
1067;;;;;;Подогревательные вальцы производства формовой техники;0,43;0,58;
1068;;;;;;Резиносмесители подготовительного цеха;0,5;0,8;
1069;;;;;;"Смесительные вальцы ""84"" подготовительного цеха";0,54;0,8;
1070;;;;;;Шприц-машины камер 12-38 мм;0,4;0,67;
1071;;;;;;Агрегаты для наложения наружного слоя на рукова диаметром 19-38 мм;0,28;0,74;
1072;;;;;;Каландры подготовительного цеха обкладки;0,54;0,69;
1073;;;;;;Каландры подготовительного цеха листования;0,36;0,52;
1074;;1.13.Легкая промышленность;;;;;Ки;cosfi;
1075;;;1.13.1.Предприятия первичной обработки хлопка;;;;;;
1076;;;;;;Джины с питателем, волоконоочистители;0,8;0,82;
1077;;;;;;Линтера, семеоголители;0,7;0,8;
1078;;;;;;Очитсители хлопка-серца, семеочестители;0,5;0,7;
1079;;;;;;Шнеки хлопка-серца, отходов, сеператоры, конденсаторы, приемо-подающие устройства хлопка-серца;0,4;0,65;
1080;;;;;;Шнеки семян, элеваторы, транспортеры хлопка;0,3;0,6;
1081;;;;;;Вентиляторы цехового транспорта хлопка-серца, отсоса от кондесаторов волокна и линта, объема волокна и линта, обеспаливания технологических машин;0,7;0,7;
1082;;;;;;Вентиляторы дворового пневмотранспорта;0,5;0,7;
1083;;;;;;Вентиляторы отсоса влаги от бунтов;0,6;0,7;
1084;;;;;;Гидронасос (с электродвигателем на каждой ступени) и остальные электодвигатели гидропрессовой установки;0,4;0,7;
1085;;;;;;Гидронасос с одним двигателем на всех ступенях;0,8;0,75;
1086;;;1.13.2.Предприятия первичной обработки джута;;;;;;
1087;;;;;;Основные технологические машины (линии по выработки длинного и короткого волокна);0,7;0,8;
1088;;;;;;Транспортные устройства (шнеки, транспортеры, элеваторы);0,4;0,65;
1089;;;;;;Вентиляторы и насосы технологического оборудования;0,7;0,7;
1090;;;1.13.3.Предприятия первичной обработки льна, и других дубяных культур;;;;;;
1091;;;;;;Механизмы погрузочно-разгрузочныхьработ в сырьевой зоне;0,2;0,7;
1092;;;;;;Прессы-группировки в зоне сортировки сырья;0,6;0,75;
1093;;;;;;Линия выроботки длинного волокна и луба;0,55;0,78;
1094;;;;;;Линия выроботки короткого волокна и луба;0,5;0,78;
1095;;;;;;Подъемно-транспортное оборудование производственного корпуса;0,2;0,7;
1096;;;;;;Наружный и внутренний пневмотранспортер и вакуум-насосы пылеуборки;0,6;0,85;
1097;;;;;;Волоконоотделительные машины;0,84;0,85;
1098;;;;;;Обеспылевающая вентиляция;0,84;0,85;
1099;;;;;;Насосы технологической насосной станции;0,7;0,8;
1100;;;;;;Прессовое оборудование участков брикотирования;0,6;0,78;
1101;;1.14.Хлопчатобумажная промышленность;;;;;Ки;cosfi;
1102;;;Прядильное производство;;;;;;
1103;;;;;;Разрыхлительно-очистительное оборудование;0,65;0,78;
1104;;;;;;Трепальное оборудование;0,68;0,8;
1105;;;;;;Шабазы;0,3;0,8;
1106;;;;;;Оборудование по переработке отходов производства;0,65;0,78;
1107;;;;;;Чесальные машины;0,88;0,8;
1108;;;;;;Ленточные, розничные и гребнечесальные машины;0,68;0,8;
1109;;;;;;Мотально-тростильные машины;0,82;0,8;
1110;;;;;;Крутильные машины кольцевого кручения;0,88;0,85;
1111;;;;;;Крутильные машины двухстадийного кручения;0,82;0,75;
1112;;;;;;Прядильно-крутильные машины;0,88;0,85;
1113;;;;;;Кольцепрядильные машины;0,88;0,85;
1114;;;;;;Прядильные машины пневмомеханического прядения без сороудаления;0,69;0,8;
1115;;;;;;Прядильные машины пневмомеханического прядения с сороудалением;0,72;0,8;
1116;;;;;;Прядильные машины роторного прядения;0,74;0,8;
1117;;;Ткацкое производство;;;;;;
1118;;;;;;Мотальные и уточно-перемоточные машины;0,82;0,8;
1119;;;;;;Сновальные машины;0,67;0,8;
1120;;;;;;Шлихтовальные машины;0,73;0,82;
1121;;;;;;Ткацкие станки;0,82;0,75;
1122;;;;;;Браковочные, приемо-контрольные бердоремезные, узловязательные машины;0,69;0,75;
1123;;;Прядильное ниточное производство;;;;;;
1124;;;;;;Оборудование отдела перемотки;0,66;0,8;
1125;;;;;;Оборудование опально-мероеризационного отдела;0,68;0,75;
1126;;;;;;Оборудование намоточного отдела;0,7;0,75;
1127;;;Производство гигроскопической ваты;;;;;;
1128;;;;;;Оборудование отдела выроботки фильтров;0,75;0,75;
1129;;;;;;Машины для упаковки ваты;0,77;0,7;
1130;;;;;;Ватоформовочная машина;0,77;0,7;
1131;;;;;;Оборудование отдела стерилизации и упаковки;0,79;0,85;
1132;;1.15.Текстильно-галантерейная и трикотажная промышленость;;;;;Ки;cosfi;
1133;;;;;;Лентоткацкие станки;0,64;0,7;
1134;;;;;;Сновальные машины;0,4;0,7;
1135;;;;;;Уточно-мотальные автоматы;0,63;0,7;
1136;;;;;;Шнуроплетельные машины;0,65;0,7;
1137;;;;;;Лентоплетельные машины и уточно-перемоточные автоматы;0,7;0,72;
1138;;;;;;Гардирные челночные машины уточно-вязальные основовязательные машины;0,7;0,7;
1139;;;;;;Гардирные машины;0,72;0,7;
1140;;;;;;Сновальные машины;0,3;0,7;
1141;;;;;;Круглотрикотажные и кругловязательные жакардовые машины, однофонтурные машин;0,63;0,7;
1142;;;;;;Автомат плосковязательный контурный круглоластичная машина;0,55;0,7;
1143;;;;;;Бобинажно-перемоточная машина;0,72;0,7;
1144;;;;;;Рисунчатая многосистемная однофонтурная машина и автомат чулочно насосный;0,65;0,7;
1145;;;;;;Решель-машина для изготовления гардинного полотна и кругловязальная иакотонная однофонтурная машина, двухгребенчатая основовязательная машина;0,65;0,8;
1146;;;;;;Плосковязательная машина;0,72;0,7;
1147;;;;;;Выпускной конвеер;0,8;0,8;
1148;;1.16.Льняная промышленность;;;;;Ки;cosfi;
1149;;;Льночесальное производство;;;;0,8;0,8;
1150;;;Прядильное производство;;;;;;
1151;;;;;;Поточные линии;0,65;0,8;
1152;;;;;;Чесальные машины;0,85;0,8;
1153;;;;;;Гребенечесальные, ленточные и ровничные машины;0,7;0,8;
1154;;;;;;Прядильные машины сухого прядения;0,82;0,82;
1155;;;;;;Прядильные машины мокрого прядения;0,8;0,8;
1156;;;;;;Сушильные машины;0,79;0,85;
1157;;;;;;Ткацкое производство;0,73;0,84;
1158;;;;;;Мотальные машины;0,73;0,84;
1159;;;;;;Крутильные машины;0,82;0,81;
1160;;;;;;Сновальные машины;0,67;0,8;
1161;;;;;;Шлихтовальные машины;0,75;0,82;
1162;;;;;;Ткацкие станки;0,82;0,75;
1163;;;;;;Браковочно-мерильные машины;0,69;0,75;
1164;;;;;;Картоносекальная мастерская;0,6;0,7;
1165;;;;;;Цеха химической обработки ровницы и крашения пряжи;0,8;0,85;
1166;;1.17.Пенько-джутовая промышленность;;;;;Ки;cosfi;
1167;;;Прядильное производство;;;;;;
1168;;;;;;Поточные линии подготовки волокна;0,65;0,75;
1169;;;;;;Чесальные машины;0,81;0,79;
1170;;;;;;Прядильные машины;0,81;0,8;
1171;;;;;;Крутильные машины;0,77;0,8;
1172;;;;;;Веревочные прядевьющие и овивальные машины;0,6;0,7;
1173;;;;;;Канатные прядивьющие и овивальные машины;0,76;0,75;
1174;;;;;;Канатоплетенные машины;0,64;0,72;
1175;;;Ткацкое производство;;;;;;
1176;;;;;;Мотальные машины;0,71;0,8;
1177;;;;;;Сновальные машины;0,6;0,7;
1178;;;;;;Шлихтовальные машины;0,72;0,8;
1179;;;;;;Ткацкие станки;0,75;0,72;
1180;;;;;;Браковочно-учетные машины;0,66;0,7;
1181;;1.18.Шерстяная промышленность и производство ковров;;;;;Ки;cosfi;
1182;;;Фабрика первичной обработки шерсти;;;;;;
1183;;;;;;Оборудование цеха переработки кизячей шерсти;0,7;0,7;
1184;;;;;;Оборудование сортировочного цеха;0,77;0,8;
1185;;;;;;Оборудование моечно-сушильного цеха;0,73;0,7;
1186;;;;;;Лабазы;0,3;0,74;
1187;;;;;;Оборудование помешения рыхления свалков;0,7;0,75;
1188;;;;;;Оборудование цеха постоянной классировки;0,44;0,85;
1189;;;;;;Оборудование сырьевой лаборатории;0,7;0,6;
1190;;;;;;Оборудование дезкамеры;0,7;0,7;
1191;;;;Аппаратная прядения;;;;;
1192;;;;;;Карбонизационно-красильные линии непрерывного действия для обработкт волокна;0,79;0,8;
1193;;;;;;Трепальные машины;0,79;0,8;
1194;;;;;;Оборудование для обработки отходов и угарно-ватирное оборудование;0,67;0,8;
1195;;;;;;Смесовые машины;0,59;0,8;
1196;;;;;;Кольцопрядильные суконные машины;0,8;0,83;
1197;;;;;;Чесальные машины;0,61;0,82;
1198;;;;;;Пневмомеханические прядильные машины;0,74;0,83;
1199;;;Камвольное прядение;;;;;;
1200;;;;;;Оборудование для обработки угаров;0,59;0,8;
1201;;;;;;Смесовые машины;0,54;0,82;
1202;;;;;;Чесальные машины;0,72;0,8;
1203;;;;;;Ленточные машины;0,74;0,8;
1204;;;;;;Гребнечесальные машины;0,86;0,77;
1205;;;;;;Штапельные машины;0,65;0,8;
1206;;;;;;Красильно-гладильное оборудование;0,57;0,8;
1207;;;;;;Розничные машины;0,74;0,8;
1208;;;;;;Кольцепрядильные машины;0,82;0,83;
1209;;;;;;Тростильнокрутильное оборудование;0,82;0,83;
1210;;;Ткацкое производство;;;;;;
1211;;;;;;Мотально-сновальные машины;0,67;0,8;
1212;;;;;;Шлихтовальные машины;0,67;0,8;
1213;;;;;;Ткацкие станки (без двигателей подъема навоев);0,8;0,75;
1214;;;;;;Контрольно-чистельное, приборное оборудование;0,6;0,8;
1215;;;;;;Ковровые ткацкие машины двухполотенные;0,6;0,8;
1216;;;;;;Однополотенные ковровые ткацкие станки;0,7;0,8;
1217;;;Производство тафтинговых ковров;;;;;;
1218;;;;;;Ткацко-приготовительный отдел;0,75;0,7;
1219;;;;;;Термофиксация;0,88;0,75;
1220;;;;;;Тафтинг-машины;0,7;0,77;
1221;;;;;;Латекс-машины;0,85;0,75;
1222;;;;;;Оборудование сухой отделки;0,75;0,8;
1223;;;;;;Печатный агрегат;0,78;0,8;
1224;;;;;;Краскосварочное отделение;0,78;0,8;
1225;;;;;;Установка конвекции, резки, упаковки, перемотки;0,85;0,8;
1226;;1.19.Шелковая промышленность;;;;;Ки;cosfi;
1227;;;;;;Основное технологическое оборудование шелкомотального производства;0,7;0,8;
1228;;;;;;Оборудование цеха переработки отходов коконометания;0,4;0,65;
1229;;;Крутильное производство;;;;;;
1230;;;;;;Крутильное оборудование;0,79;0,8;
1231;;;;;;Запарное оборудование;0,65;0,8;
1232;;;Ткацкое производство;;;;;;
1233;;;;;;Уточно-перемоточное оборудование;0,7;0,8;
1234;;;;;;Сновальные машины;0,59;0,78;
1235;;;;;;Шлихтовальные машины;0,65;0,75;
1236;;;;;;Ткацкие станки;0,84;0,75;
1237;;;;;;Товарно-чистильное и браковочное оборудование;0,69;0,8;
1238;;;;;Отделочное оборудование всех подотрослей текстильной и трикотажной промышленности;;;;
1239;;;;;;Оборудование участков сухой отделки (каландры, отригальные машины. Ворсовальные, опальные);0,75;0,82;
1240;;;;;;Термические токоприемнки;0,75;1;
1241;;;;;;Инфакрасные нагреватели;1;1;
1242;;;;;;Прочие электроприемники, в том числе:;;;
1243;;;;;;отделочных линий;0,62;0,8;
1244;;;;;;Складальное, мерильное и браковочное оборудование;0,55;0,7;
1245;;;;;;Оборудование крашения волокна и пряжи;;;
1246;;;;;;Оборудование крашения волокна периодического действия;0,56;0,82;
1247;;;;;;Оборудование крашения пряжи периодического действия;0,56;0,84;
1248;;;Производство нетканных материалов. Фабрики иглопробивных материалов;;;;;;
1249;;;;;;Оборудование подготовки волокна;0,65;0,75;
1250;;;;;;Участки лабазов;0,3;0,74;
1251;;;;;;Иглопробивные цеха, угарные участки (переработка отходов) и браковочные участки;0,7;0,75;
1252;;;Фабрики вязально-прошивных материалов;;;;;;
1253;;;;;;Участки лабазов;0,3;0,74;
1254;;;;;;Сновательно-мотальное оборудование;0,5;0,7;
1255;;;;;;Оборудование переработки отходов;0,7;0,75;
1256;;;;;;Оборудование обработки отходов;0,7;0,75;
1257;;1.20.Швейная промышленность;;;;;Ки;cosfi;
1258;;;;;;Швейные машины;0,6;0,62;
1259;;;;;;Транспортеры швейных конвееров;0,68;0,8;
1260;;;;;;Браковочно-мерильные машины;0,4;0,62;
1261;;;;;;Раскройное оборудование;0,4;0,65;
1262;;;;;;Утюги, прессы;0,75;0,98;
1263;;;;;;Машины герметезации швов;0,8;0,7;
1264;;;;;;Смесители;0,5;0,8;
1265;;1.21.Кожгалантерейная промышленность;;;;;Ки;cosfi;
1266;;;;;;Дисторезальная ротационная машина и карторезальная машина;0,35;0,76;
1267;;;;;;Электрогидравлический пресс для вырубки деталей;0,303;0,8;
1268;;;;;;Универсальный просекальный станок, пресс гидравлический для выработки деталей и пресс карусельный механический;0,303;0,73;
1269;;;;;;Машина для спускания краев деталей низа, браковочно-мерильная машина и полуавтомат для постановки хольнитенов;0,4;0,59;
1270;;;;;;Машина проходная для перетяжки перчаточных кож;0,36;0,76;
1271;;;;;;Машина раскройная четырехшкивная ленточная;0,26;0,76;
1272;;;;;;Машина для спускания краев деталей верха;0,35;0,59;
1273;;;;;;Машина для креймения деталий;0,28;0,58;
1274;;;;;;Пресс для тюковки отходов;0,23;0,76;
1275;;;;;;Высокочастотная установка;0,73;0,86;
1276;;;;;;Пресс ддля установки мелкой фурнитуры и обжига рамочных замков;0,37;0,58;
1277;;;;;;Машина для багировки и нарезки клинчиков портфелей, сумок;0,27;0,59;
1278;;;;;;Машина для гибки и формирования ботанов чемоданов и машина раскройно-ленточная;0,37;0,73;
1279;;;;;;Машина для выворотки суиок хозяйственных и дорожных;0,27;0,73;
1280;;;;;;Машина для окраски в пачках краев деталей кожгалантерейных изделий;0,265;0,58;
1281;;;;;;Машина швейная;0,35;0.58;
1282;;1.22.Кожевенная промышленность;;;;;Ки;cosfi;
1283;;;Производство хромовых и юфтевых кож;;;;;;
1284;;;;;;Барабан подвесной для отмоточно-зольных процессов, красильно-жировальных процессов и преддубильно-дубильных процессов;0,23;0,7;
1285;;;;;;Машина мездрильная;0,19;0,8;
1286;;;;;;Машина двоильно-ленточная и машина валичная отжимная;0,23;0,8;
1287;;;;;;Машина волосоогонно-чистильная;0,27;0,88;
1288;;;;;;Пресс для тюковки хромовой стружки;0,23;0,78;
1289;;;;;;Шерстомойная машина;0,54;0,76;
1290;;;;;;Агрегат для обезволошивание шкур;0,63;0,79;
1291;;;;;;Машина строгальная;0,19;0,81;
1292;;;;;;Машина разводная гидравлическая;0,27;0,83;
1293;;;;;;Машина проходная шетино-дергательная;0,27;0,79;
1294;;;;;;Сушилка внаклейку на стекло 200-рамная, прохдная сушилка и вакуумная сушилка;0,45;0,87;
1295;;;;;;Сушилка рамная подвесная и машина намазная;0,45;0,78;
1296;;;;;;Машина обрезная;0,23;0,59;
1297;;;;;;Вибрационно-мягчильная машина, проходной шлифовально-обеспыливающий агрегат и машина шлифовальная;0,27;0,85;
1298;;;;;;Машина для очистки от пыли с 2-х сторон шлифовальных кож;0,27;0,76;
1299;;;;;;Машина поливочная, агрегат покрывного крашения щетками, а также агрегат покрывного крашения двухкратный;0,45;0,76;
1300;;;;;;"Аппретурная машина ""Ретона""";0,45;0,79;
1301;;;;;;Гидравлический пресс;0,3;0,87;
1302;;;;;;"Машина проходная гладильная ""Ретона""";0,36;0,83;
1303;;;;;;Машина тянульно-мягчильная;0,27;0,79;
